Draw Date	N1	N2	N3	N4	N5	PB	PP
06-18-2016	02	23	41	53	63	11	02
06-15-2016	04	22	24	31	33	10	02
06-11-2016	20	27	36	41	58	07	02
06-08-2016	12	25	37	60	69	20	03
06-04-2016	16	20	22	43	64	17	02
06-01-2016	23	30	33	40	69	12	05
05-28-2016	06	33	34	58	59	12	02
05-25-2016	11	24	41	59	64	15	03
05-21-2016	05	07	09	23	32	26	04
05-18-2016	23	25	39	54	67	11	03
05-14-2016	13	27	47	64	65	09	03
05-11-2016	20	32	52	66	69	23	03
05-07-2016	05	25	26	44	66	09	02
05-04-2016	30	47	57	66	69	03	03
04-30-2016	03	12	16	32	34	14	03
04-27-2016	02	25	33	39	64	17	02
04-23-2016	19	35	46	59	62	13	05
04-20-2016	12	25	30	52	62	08	03
04-16-2016	03	18	25	32	51	03	02
04-13-2016	30	33	35	38	64	22	03
04-09-2016	14	22	23	41	61	09	03
04-06-2016	04	28	49	60	65	25	02
04-02-2016	09	28	30	40	61	03	02
03-30-2016	24	44	53	55	63	19	02
03-26-2016	11	23	42	52	68	06	03
03-23-2016	05	08	15	22	49	25	03
03-19-2016	11	23	43	54	60	03	03
03-16-2016	10	12	13	46	50	21	03
03-12-2016	11	28	50	57	62	23	02
03-09-2016	14	23	32	34	68	03	03
03-05-2016	03	27	34	59	69	19	02
03-02-2016	12	13	44	52	62	06	02
02-27-2016	10	11	21	22	53	18	03
02-24-2016	21	31	64	65	67	05	03
02-20-2016	11	12	15	16	54	25	05
02-17-2016	07	17	27	29	40	25	02
02-13-2016	07	15	18	19	36	20	02
02-10-2016	02	03	40	50	62	05	02
02-06-2016	04	13	31	36	52	08	03
02-03-2016	26	28	31	60	67	23	03
01-30-2016	05	12	16	31	43	18	04
01-27-2016	03	12	40	52	67	21	02
01-23-2016	22	32	34	40	69	19	04
01-20-2016	05	39	44	47	69	24	05
01-16-2016	03	51	52	61	64	06	02
01-13-2016	04	08	19	27	34	10	02
01-09-2016	16	19	32	34	57	13	03
01-06-2016	02	11	47	62	63	17	03
01-02-2016	05	06	15	29	42	10	02
12-30-2015	12	36	38	54	61	22	03
12-26-2015	27	40	44	59	65	20	02
12-23-2015	16	38	55	63	67	25	04
12-19-2015	28	30	41	59	68	10	02
12-16-2015	09	10	32	42	55	06	02
12-12-2015	02	14	19	30	62	22	02
12-09-2015	07	10	16	46	56	01	02
12-05-2015	13	27	33	47	68	13	02
12-02-2015	14	18	19	32	64	09	02
11-28-2015	02	06	47	66	67	02	03
11-25-2015	16	29	53	58	69	21	02
11-21-2015	37	47	50	52	57	21	03
11-18-2015	17	40	41	46	69	06	02
11-14-2015	14	22	37	45	66	05	03
11-11-2015	04	26	32	55	64	18	03
11-07-2015	07	16	25	50	53	15	02
11-04-2015	02	12	17	20	65	17	04
10-31-2015	09	20	25	47	68	07	02
10-28-2015	04	54	56	62	63	10	02
10-24-2015	20	31	56	60	64	02	03
10-21-2015	30	32	42	56	57	11	04
10-17-2015	48	49	57	62	69	19	03
10-14-2015	15	20	29	31	40	01	02
